맛집명,경도,위도
구스테이크 528,127.020600022676,37.5228889090644
삐아프,127.020704860165,37.5215572988242
정돈프리미엄 신사점,127.021043153918,37.5197517192215
미미면가,127.021101274455,37.5200722857427
양식당더램키친,127.021354033675,37.523023925535
제이피셰프다이어리,127.022083435232,37.5137291314814
배러댄비프,127.022276381395,37.5178475831346
베러댄비프,127.022276381395,37.5178475831346
듀자미,127.022592654035,37.5193442696835
C27 가로수길점,127.023245102186,37.5207347511749
한추,127.023448636065,37.5240817556959
킹콩 스테이크,127.023455120787,37.5238371322452
덕자네방앗간,127.023519915144,37.5032072803982
댈러스바베큐,127.023527965769,37.5209300325994
달식탁,127.023783138208,37.5190567060549
배꼽집,127.024086710539,37.5101416617195
시골야채된장,127.024267022096,37.5014754863397
악소,127.024454982256,37.5267858196588
육전식당 1호점,127.024303080144,37.5742829714908
네기 NEGI,127.024524046101,37.5190033953527
난장캠프,127.025199318349,37.5057520040906
로리스 더 프라임 립,127.025922653572,37.4981083450113
더블트러블,127.026393485443,37.5033957943852
대가,127.026439702234,37.5032853207645
이딸라시안,127.026818294672,37.5025182093061
우시야,127.027212476328,37.5229088342968
토끼정 강남점,127.027257148751,37.5029713147175
강남돈까스,127.027276867288,37.500905574162
바비레드 강남본점,127.027942392592,37.5026858061231
땀땀,127.027973437756,37.5004148135036
마포쉐프 강남역점,127.027979213399,37.500739444601
서경도락 도산대로점,127.029382873419,37.5197266029757
무화잠 강남점,127.030576783854,37.4935021866475
대도식당 왕십리점,127.030656662253,37.5674150076774
대감왕족발,127.031024642567,37.5280853233349
두레국수,127.031537185476,37.522841084498
장서는날,127.0321966949,37.4957088628142
스시코마츠,127.03224183706,37.5252108008908
한일관,127.032497263908,37.527783181798
옛골,127.032591387748,37.505931478135
동경육개장,127.032708431114,37.5004560347585
고래불 역삼점,127.033957316936,37.4962758238801
엽기꼼닭발,127.034236977625,37.5626205440226
Just Steak,127.034392804844,37.5231487907475
대낚식당,127.034468340319,37.4945464636645
팜티진 쌀국수,127.035023853624,37.5645961982208
참한간장게장,127.034901246744,37.5264348672513
그라노,127.03493335748,37.5261535649144
대우식당,127.035271910674,37.5027507897379
자연석돌구이,127.035339266747,37.5206418316433
홈수끼 학동점,127.035718971503,37.5162828438668
진미평양냉면,127.036042298778,37.5161452524981
더키친살바토레쿠오모,127.036039653313,37.525696784837
더 키친 살바토레 쿠오모,127.036039653313,37.525696784837
갓포치유,127.036175887785,37.5252859762923
카페 노티드 청담점,127.036196841481,37.525103697122
스시선수,127.036456402999,37.5228755284276
왕자장어,127.036586000191,37.5255672329458
백곰막걸리&양조장,127.037076709218,37.525941356205
짱이네산곰장어,127.037255365964,37.5093848223642
루비떡볶이,127.037633322561,37.5246295912402
이치에(Ichie),127.037683021073,37.5253756052581
리틀넥 청담점,127.037766602443,37.524213555916
도산분식 도산공원점,127.037404258783,37.5235326034931
영동족발,127.037999348618,37.4845842002925
대가방,127.038549558779,37.5211553001199
개화옥,127.038593901018,37.5277407116971
만두집,127.038877956425,37.5279245130015
스위츠플레닛,127.03909150304,37.5172119718613
현대정육식당,127.040157426174,37.5219209771471
오아시스,127.040603772323,37.5247769123574
오통영 청담점,127.04084203546,37.5254318588233
토말,127.041210146181,37.5136936431118
고센인코퍼레이티드 청담점,127.041432441138,37.5252104571406
갓포아키 청담점,127.04146736746,37.5267910728462
울프강 스테이크하우스,127.041463043475,37.5244973932097
레스쁘아 뒤 이부,127.042300440704,37.5245580941157
옛날집,127.042637520844,37.5227034395703
파스토,127.043104014456,37.5222593462512
청담골,127.043405669306,37.5227679418531
마코토 청담점,127.043577647832,37.5243756273018
광주식당,127.043678441013,37.5806071473826
니시키,127.043678441013,37.5806071473826
호무랑,127.044119009562,37.5233111622682
밍글스,127.044160043187,37.5253702976666
무수옥,127.044143069676,37.6771588328553
볼트82,127.044974006296,37.5250065262292
카퍼룸,127.045278963402,37.5103474456178
성수아구찜,127.045872166016,37.5455780079168
소호정 본점,127.048680840995,37.4732544154171
죽변항,127.048747341011,37.5475596843054
테라13,127.049160079957,37.5234890116859
영천영화,127.049578728066,37.523959970849
청국장 서갈비,127.050272610094,37.5024968609524
