자치구,위도,경도,대여소명
광진구,37.54523087,127.08473206,573.  구의문주차장 앞
광진구,37.55184937,127.08898163,574.  아차산역4번출구
광진구,37.56429291,127.08693695,575.  대원중고교 입구(대하빌딩)
광진구,37.54483032,127.10426331,576.  광나루역 3번 출구
광진구,37.54654694,127.10613251,577.  광진청소년수련관
광진구,37.54782867,127.07263184,584.  광진광장 교통섬
광진구,37.53268814,127.06749725,588.  뚝섬 유원지역
광진구,37.53989029,127.07336426,590.  건국대학교 (입학정보관)
광진구,37.54277802,127.07537079,591.  건국대학교 (행정관)
광진구,37.54191208,127.07763672,592.  건국대학교 학생회관
광진구,37.52845383,127.07803345,593. 자양중앙나들목
광진구,37.55137253,127.07444,3543.  세종대학교(학술정보원)
광진구,37.53680038,127.09083557,3563. 구의7단지현대아파트
광진구,37.53507233,127.07611084,3566. 우성4차아파트
광진구,37.53956604,127.0724411,3569. 건대병원후문
광진구,37.53809738,127.08901978,3570. 구의역 리버비스타 오피스텔
광진구,37.54434967,127.0654068,3571. 화양 APT(횡단보도 옆)
광진구,37.5513382,127.07671356,3573. 광나루안전체험관
광진구,37.53657532,127.08258057,3575.  자양사거리(서원빌딩)
광진구,37.54788971,127.06745148,3579. 광진 캠퍼스시티
광진구,37.54747009,127.07396698,3581. 광진광장
광진구,37.54798889,127.06950378,3582. 화양동 우체국
광진구,37.55771255,127.07727051,3586. 군자역 비채온 오피스텔
광진구,37.54246521,127.09423065,3587. 우성식품 앞
광진구,37.55237198,127.07353973,3588. 세종대학교(영실관)
광진구,37.54764938,127.07470703,3853.  어린이대공원역 2번출구
광진구,37.5465126,127.07571411,3860.  건국대학교 정문 앞
광진구,37.55775452,127.07297516,3863.  동일로58길 입구
광진구,37.5450058,127.08337402,3864.  광진소방서 앞
광진구,37.53520966,127.06900024,3865.  이튼타워리버 2차
광진구,37.52916336,127.07798767,3868.  자양한강도서관
광진구,37.53470993,127.08447266,3873.  동서울우편집중국 앞
광진구,37.54983902,127.10302734,3878.  장로회신학대학교 주기철 기념관
광진구,37.56628036,127.0774765,3879.  중랑천 뚝방길 산책로 입구
광진구,37.53298569,127.07579041,3881.  신자초교입구 교차로
광진구,37.54896927,127.09352875,3880.  홍련봉 공원
광진구,37.52879333,127.08463287,3882.  자양2동 주민센터
광진구,37.5391922,127.09801483,3886. 광진구 민방위교육센터
광진구,37.53803253,127.08355713,3890. 웰츠타워 오피스텔
동대문구,37.58991241,127.06867981,600.  휘경2동 주민센터
동대문구,37.57217407,127.07138824,602.  장안동 사거리
동대문구,37.57419968,127.02649689,605.  신설동역8번출구
동대문구,37.58462524,127.07028961,606.  휘경공고앞
동대문구,37.60271072,127.06786346,607.  신이문역 2번출구
동대문구,37.58131027,127.05534363,608.  전농삼성아파트
